endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Iperoig, 749 - Perdizes, São Paulo - SP;1300000.0;112;3;2;4;7
Perdizes, São Paulo - SP;790000.0;119;3;2;3;7
Rua Paraguaçu - Perdizes, São Paulo - SP;965000.0;106;3;1;3;7
Rua Caraíbas - Perdizes, São Paulo - SP;782000.0;70;2;1;2;8
Rua Havaí, 185 - Sumaré, São Paulo - SP;2098500.0;157;2;2;3;8
Rua José Donatelli, 8 - Perdizes, São Paulo - SP;4039000.0;278;4;4;4;8
Rua Diana, 375 - Perdizes, São Paulo - SP;429900.0;40;1;0;1;8
Rua Capital Federal, 475 - Perdizes, São Paulo - SP;2300000.0;200;4;4;4;8
Rua Cayowaá - Perdizes, São Paulo - SP;668400.0;51;1;1;2;8
Rua Aimberê, 1300 - Perdizes, São Paulo - SP;630000.0;80;2;1;2;8
Rua Monte Alegre, 90 - Perdizes, São Paulo - SP;649800.0;90;4;1;1;8
Rua Havaí, 295 - Sumaré, São Paulo - SP;0.0;74;2;2;1;8
Perdizes, São Paulo - SP;5000000.0;300;4;5;6;8
Rua Turiassu, 1347 - Perdizes, São Paulo - SP;490000.0;35;1;1;1;8
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;2300000.0;174;3;2;5;8
Rua Caraíbas, 847 - Perdizes, São Paulo - SP;3300000.0;230;2;5;6;8
Perdizes, São Paulo - SP;990000.0;72;2;2;2;8
Rua Caraíbas, 400 - Perdizes, São Paulo - SP;1250000.0;120;3;2;3;8
Avenida Pompéia, 315 - Pompeia, São Paulo - SP;660000.0;27;2;1;1;8
Rua Venâncio Aires - Perdizes, São Paulo - SP;685000.0;88;3;1;2;8
Rua Paulo Franco - Perdizes, São Paulo - SP;946000.0;94;3;2;2;8
Rua Padre Chico, 224 - Perdizes, São Paulo - SP;1300000.0;111;3;2;2;8
Rua Cotoxó, 1289 - Perdizes, São Paulo - SP;927000.0;93;3;2;2;8
Rua Tucuna, 470 - Perdizes, São Paulo - SP;1590000.0;123;3;3;5;8
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;1990000.0;142;4;2;5;8
Rua Barão do Bananal, 305 - Pompeia, São Paulo - SP;0.0;123;3;3;1;8
Perdizes, São Paulo - SP;770000.0;82;3;2;3;8
Rua Iperoig - Perdizes, São Paulo - SP;2950000.0;225;4;5;5;8
Rua Coronel Melo de Oliveira - Perdizes, São Paulo - SP;1459000.0;123;4;2;5;8
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;4280000.0;266;5;5;7;8
Rua Piracuama, 85 - Perdizes, São Paulo - SP;2100.0;105;3;0;2;8
